domain,owner_or_founder,incumbent_strength,ev0l_attack_surface,hardball_move,coin_flow,vault,guard,metric_lift
Governance,Incumbent_1,legacy dominance,spiral decentralization,open-source counter-network,GovernanceCoin,GovernanceVault,public_guard,efficiency+1%
Treasury,Incumbent_2,legacy dominance,spiral decentralization,open-source counter-network,TreasuryCoin,TreasuryVault,public_guard,efficiency+2%
Health,Incumbent_3,legacy dominance,spiral decentralization,open-source counter-network,HealthCoin,HealthVault,public_guard,efficiency+3%
Education,Incumbent_4,legacy dominance,spiral decentralization,open-source counter-network,EducationCoin,EducationVault,public_guard,efficiency+4%
Energy,Incumbent_5,legacy dominance,spiral decentralization,open-source counter-network,EnergyCoin,EnergyVault,public_guard,efficiency+5%
Transport,Incumbent_6,legacy dominance,spiral decentralization,open-source counter-network,TransportCoin,TransportVault,public_guard,efficiency+6%
Defense,Incumbent_7,legacy dominance,spiral decentralization,open-source counter-network,DefenseCoin,DefenseVault,public_guard,efficiency+7%
Commerce,Incumbent_8,legacy dominance,spiral decentralization,open-source counter-network,CommerceCoin,CommerceVault,public_guard,efficiency+8%
Culture,Incumbent_9,legacy dominance,spiral decentralization,open-source counter-network,CultureCoin,CultureVault,public_guard,efficiency+9%
Cities,Incumbent_10,legacy dominance,spiral decentralization,open-source counter-network,CitiesCoin,CitiesVault,public_guard,efficiency+10%
Data,Incumbent_11,legacy dominance,spiral decentralization,open-source counter-network,DataCoin,DataVault,public_guard,efficiency+11%
Agriculture,Incumbent_12,legacy dominance,spiral decentralization,open-source counter-network,AgricultureCoin,AgricultureVault,public_guard,efficiency+12%
Search,Incumbent_13,legacy dominance,spiral decentralization,open-source counter-network,SearchCoin,SearchVault,public_guard,efficiency+13%
Payments,Incumbent_14,legacy dominance,spiral decentralization,open-source counter-network,PaymentsCoin,PaymentsVault,public_guard,efficiency+14%
Music Labels,Incumbent_15,legacy dominance,spiral decentralization,open-source counter-network,MusicLabelsCoin,MusicLabelsVault,public_guard,efficiency+15%
Sports Leagues,Incumbent_16,legacy dominance,spiral decentralization,open-source counter-network,SportsLeaguesCoin,SportsLeaguesVault,public_guard,efficiency+16%
Cloud,Incumbent_17,legacy dominance,spiral decentralization,open-source counter-network,CloudCoin,CloudVault,public_guard,efficiency+17%
Security,Incumbent_18,legacy dominance,spiral decentralization,open-source counter-network,SecurityCoin,SecurityVault,public_guard,efficiency+18%
Law,Incumbent_19,legacy dominance,spiral decentralization,open-source counter-network,LawCoin,LawVault,public_guard,efficiency+19%
Medicine,Incumbent_20,legacy dominance,spiral decentralization,open-source counter-network,MedicineCoin,MedicineVault,public_guard,efficiency+20%
Pharma,Incumbent_21,legacy dominance,spiral decentralization,open-source counter-network,PharmaCoin,PharmaVault,public_guard,efficiency+21%
Biotech,Incumbent_22,legacy dominance,spiral decentralization,open-source counter-network,BiotechCoin,BiotechVault,public_guard,efficiency+22%
AI,Incumbent_23,legacy dominance,spiral decentralization,open-source counter-network,AICoin,AIVault,public_guard,efficiency+23%
Robotics,Incumbent_24,legacy dominance,spiral decentralization,open-source counter-network,RoboticsCoin,RoboticsVault,public_guard,efficiency+24%
Aerospace,Incumbent_25,legacy dominance,spiral decentralization,open-source counter-network,AerospaceCoin,AerospaceVault,public_guard,efficiency+25%
Water Utilities,Incumbent_26,legacy dominance,spiral decentralization,open-source counter-network,WaterUtilitiesCoin,WaterUtilitiesVault,public_guard,efficiency+26%
Food Chains,Incumbent_27,legacy dominance,spiral decentralization,open-source counter-network,FoodChainsCoin,FoodChainsVault,public_guard,efficiency+27%
Construction,Incumbent_28,legacy dominance,spiral decentralization,open-source counter-network,ConstructionCoin,ConstructionVault,public_guard,efficiency+28%
Finance,Incumbent_29,legacy dominance,spiral decentralization,open-source counter-network,FinanceCoin,FinanceVault,public_guard,efficiency+29%
Insurance,Incumbent_30,legacy dominance,spiral decentralization,open-source counter-network,InsuranceCoin,InsuranceVault,public_guard,efficiency+30%
Telecom,Incumbent_31,legacy dominance,spiral decentralization,open-source counter-network,TelecomCoin,TelecomVault,public_guard,efficiency+31%
Media,Incumbent_32,legacy dominance,spiral decentralization,open-source counter-network,MediaCoin,MediaVault,public_guard,efficiency+32%
Fashion,Incumbent_33,legacy dominance,spiral decentralization,open-source counter-network,FashionCoin,FashionVault,public_guard,efficiency+33%
Gaming,Incumbent_34,legacy dominance,spiral decentralization,open-source counter-network,GamingCoin,GamingVault,public_guard,efficiency+34%
Art Market,Incumbent_35,legacy dominance,spiral decentralization,open-source counter-network,ArtMarketCoin,ArtMarketVault,public_guard,efficiency+35%
Academia,Incumbent_36,legacy dominance,spiral decentralization,open-source counter-network,AcademiaCoin,AcademiaVault,public_guard,efficiency+36%
Defense Contractors,Incumbent_37,legacy dominance,spiral decentralization,open-source counter-network,DefenseContractorsCoin,DefenseContractorsVault,public_guard,efficiency+37%
Policing,Incumbent_38,legacy dominance,spiral decentralization,open-source counter-network,PolicingCoin,PolicingVault,public_guard,efficiency+38%
Space Research,Incumbent_39,legacy dominance,spiral decentralization,open-source counter-network,SpaceResearchCoin,SpaceResearchVault,public_guard,efficiency+39%
Climate Science,Incumbent_40,legacy dominance,spiral decentralization,open-source counter-network,ClimateScienceCoin,ClimateScienceVault,public_guard,efficiency+40%
Transportation,Incumbent_41,legacy dominance,spiral decentralization,open-source counter-network,TransportationCoin,TransportationVault,public_guard,efficiency+41%
Logistics,Incumbent_42,legacy dominance,spiral decentralization,open-source counter-network,LogisticsCoin,LogisticsVault,public_guard,efficiency+42%
Maritime,Incumbent_43,legacy dominance,spiral decentralization,open-source counter-network,MaritimeCoin,MaritimeVault,public_guard,efficiency+43%
Tourism,Incumbent_44,legacy dominance,spiral decentralization,open-source counter-network,TourismCoin,TourismVault,public_guard,efficiency+44%
Religion,Incumbent_45,legacy dominance,spiral decentralization,open-source counter-network,ReligionCoin,ReligionVault,public_guard,efficiency+45%
Philosophy,Incumbent_46,legacy dominance,spiral decentralization,open-source counter-network,PhilosophyCoin,PhilosophyVault,public_guard,efficiency+46%
Finance Crypto,Incumbent_47,legacy dominance,spiral decentralization,open-source counter-network,FinanceCryptoCoin,FinanceCryptoVault,public_guard,efficiency+47%
Mining,Incumbent_48,legacy dominance,spiral decentralization,open-source counter-network,MiningCoin,MiningVault,public_guard,efficiency+48%
Real Estate,Incumbent_49,legacy dominance,spiral decentralization,open-source counter-network,RealEstateCoin,RealEstateVault,public_guard,efficiency+49%
Utilities,Incumbent_50,legacy dominance,spiral decentralization,open-source counter-network,UtilitiesCoin,UtilitiesVault,public_guard,efficiency+50%
Education K-12,Incumbent_51,legacy dominance,spiral decentralization,open-source counter-network,EducationK-12Coin,EducationK-12Vault,public_guard,efficiency+51%
Medicine Alt,Incumbent_52,legacy dominance,spiral decentralization,open-source counter-network,MedicineAltCoin,MedicineAltVault,public_guard,efficiency+52%
Fashion Streetwear,Incumbent_53,legacy dominance,spiral decentralization,open-source counter-network,FashionStreetwearCoin,FashionStreetwearVault,public_guard,efficiency+53%
Cinema,Incumbent_54,legacy dominance,spiral decentralization,open-source counter-network,CinemaCoin,CinemaVault,public_guard,efficiency+54%
Publishing,Incumbent_55,legacy dominance,spiral decentralization,open-source counter-network,PublishingCoin,PublishingVault,public_guard,efficiency+55%
News,Incumbent_56,legacy dominance,spiral decentralization,open-source counter-network,NewsCoin,NewsVault,public_guard,efficiency+56%
